ID,KT,Hauptstadt
1,Zürich,Zürich
2,Bern,Bern
3,Luzern,Luzern
4,Uri,Altdorf
5,Schwyz,Schwyz
6,Obwalden,Sarnen
7,Nidwalden,Stans
8,Glarus,Glarus
9,Zug,Zug
10,Fribourg,Fribourg
11,Solothurn,Solothurn
12,Basel-Stadt,Basel
13,Basel-Landschaft,Liestal
14,Schaffhausen,Schaffhausen
15,Appenzell Ausserrhoden,Herisau
16,Appenzell Innerrhoden,Appenzell
17,St. Gallen,St. Gallen
18,Graubünden,Chur
19,Aargau,Aarau
20,Thurgau,Frauenfeld
21,Ticino,Bellinzona
22,Vaud,Lausanne
23,Valais,Sion
24,Neuchâtel,Neuchâtel
25,Genève,Genève
26,Jura,Delémont
